1hop_param,2hop_partner,outcome,takeoff
MC_YAWRATE_K=0.5,MPC_JERK_AUTO=2.5,fail,takeoff_succeeded
MC_YAWRATE_K=0.5,MPC_JERK_AUTO=42.0,fail,takeoff_succeeded
MC_YAWRATE_K=0.5,MPC_JERK_AUTO=80.0,fail,takeoff_succeeded
COM_ARM_IMU_ACC=1.0,MC_PITCHRATE_FF=0.0015,fail,takeoff_succeeded
COM_ARM_IMU_ACC=1.0,MC_PITCHRATE_FF=0.003,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.3,MPC_XY_VEL_I_ACC=30.2,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.02,MPC_Z_VEL_MAX_DN=0.75,fail,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_ROLLRATE_I=12.0,fail,takeoff_failed
MC_PITCHRATE_P=0.08,MC_ROLLRATE_K=0.505,fail,takeoff_succeeded
MC_PITCHRATE_P=0.08,MC_ROLLRATE_K=3.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MC_ROLLRATE_K=0.505,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MC_ROLLRATE_K=3.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_ROLLRATE_K=0.505,fail,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_ROLLRATE_K=3.0,fail,takeoff_succeeded
MC_PITCHRATE_P=0.08,MC_PITCHRATE_MAX=110.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.08,MC_PITCHRATE_MAX=1010.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.08,MC_PITCHRATE_MAX=1800.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MC_PITCHRATE_MAX=110.0,fail,takeoff_succeeded
MC_PITCHRATE_P=0.38,MC_PITCHRATE_MAX=1010.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MC_PITCHRATE_MAX=1800.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_PITCHRATE_MAX=110.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_PITCHRATE_MAX=1010.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.6,MC_PITCHRATE_MAX=1800.0,success,takeoff_succeeded
MC_PITCHRATE_P=0.08,MPC_THR_MAX=0.75,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MPC_THR_MAX=0.75,fail,takeoff_succeeded
MC_PITCHRATE_P=0.6,MPC_THR_MAX=0.75,success,takeoff_succeeded
MC_PITCHRATE_P=0.38,MOT_SLEW_MAX=1.0,fail,takeoff_failed
MC_PITCHRATE_P=0.38,MOT_SLEW_MAX=2.0,fail,takeoff_succeeded
MC_PITCHRATE_P=0.38,MOT_SLEW_MAX=3.0,fail,takeoff_succeeded
MC_PITCHRATE_P=0.6,MOT_SLEW_MAX=1.0,fail,takeoff_failed
MC_PITCHRATE_P=0.6,MOT_SLEW_MAX=2.0,fail,takeoff_failed
MC_PITCHRATE_P=0.6,MOT_SLEW_MAX=3.0,fail,takeoff_failed
MC_PITCHRATE_P=0.08,MC_PR_INT_LIM=0.0,success,takeoff_succeeded
MC_PITCH_P=3.3,MC_YAWRATE_FF=0.6,fail,takeoff_succeeded
MC_PITCH_P=9.3,MC_YAWRATE_FF=0.1,fail,takeoff_succeeded
MC_PITCH_P=9.3,MC_YAWRATE_FF=0.2,fail,takeoff_succeeded
MC_ROLLRATE_P=0.08,MC_PITCHRATE_FF=0.0015,success,takeoff_succeeded
MC_ROLLRATE_P=0.33,COM_POS_FS_EPH=3.0,success,takeoff_succeeded
MC_ROLLRATE_P=0.5,COM_POS_FS_EPH=3.0,fail,takeoff_failed
MC_ROLLRATE_P=0.33,EKF2_ABL_LIM=0.2,fail,takeoff_failed
MC_PITCHRATE_D=0.0,MC_YAWRATE_D=0.1,success,takeoff_succeeded
MC_PITCHRATE_D=0.0,MC_YAWRATE_K=0.0,fail,takeoff_succeeded
MC_PITCHRATE_D=0.0,MC_YAWRATE_K=0.5,fail,takeoff_succeeded
MC_PITCHRATE_D=0.0,MC_YAWRATE_K=3.0,fail,takeoff_succeeded
MC_PITCHRATE_D=0.0,COM_ARM_IMU_ACC=0.1,fail,takeoff_succeeded
MC_PITCHRATE_D=0.0,COM_ARM_IMU_ACC=0.4,fail,takeoff_succeeded
MC_PITCHRATE_D=0.0,COM_ARM_IMU_ACC=0.85,fail,takeoff_succeeded
MC_PITCHRATE_I=0.6,EKF2_ABL_LIM=0.2,success,takeoff_succeeded
MC_PITCHRATE_I=0.6,EKF2_ABL_LIM=0.6,success,takeoff_succeeded
MC_PITCHRATE_I=0.6,EKF2_ABL_LIM=0.8,success,takeoff_succeeded
MC_PITCHRATE_I=12.0,EKF2_ABL_LIM=0.2,fail,takeoff_succeeded
MC_PITCHRATE_I=12.0,EKF2_ABL_LIM=0.6,success,takeoff_succeeded
MC_PITCHRATE_I=12.0,EKF2_ABL_LIM=0.8,success,takeoff_succeeded
MC_PITCHRATE_I=0.0,MOT_SLEW_MAX=1.0,success,takeoff_succeeded
MC_PITCHRATE_I=0.0,MOT_SLEW_MAX=2.0,success,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_VEL_MAX=6.0,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_VEL_MAX=16.0,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_VEL_MAX=20.0,fail,takeoff_succeeded
MC_PITCH_P=9.3,MPC_XY_VEL_MAX=6.0,fail,takeoff_succeeded
MC_PITCH_P=9.3,MPC_XY_VEL_MAX=16.0,fail,takeoff_succeeded
MC_PITCH_P=9.3,MPC_XY_VEL_MAX=20.0,fail,takeoff_succeeded
MC_PITCH_P=12.0,MPC_XY_VEL_MAX=6.0,fail,takeoff_succeeded
MC_PITCH_P=12.0,MPC_XY_VEL_MAX=16.0,fail,takeoff_succeeded
MC_PITCH_P=12.0,MPC_XY_VEL_MAX=20.0,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_CRUISE=3.0,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_CRUISE=4.0,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_CRUISE=12.5,fail,takeoff_succeeded
MC_PITCH_P=3.3,MPC_XY_CRUISE=20.0,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.3,MPC_Z_VEL_P_ACC=3.0,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.135,MPC_XY_VEL_MAX=6.0,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.135,MPC_XY_VEL_MAX=16.0,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.135,MPC_XY_VEL_MAX=20.0,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.135,MPC_LAND_SPEED=0.6,fail,takeoff_succeeded
COM_ARM_IMU_GYR=0.135,MPC_LAND_SPEED=0.65,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0065,MPC_LAND_SPEED=0.6,fail,takeoff_failed
MC_ROLLRATE_FF=0.0065,MPC_LAND_SPEED=0.65,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0015,MPC_ACC_UP_MAX=2.0,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0015,MPC_ACC_UP_MAX=3.0,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0015,MPC_ACC_UP_MAX=9.5,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0015,MPC_ACC_UP_MAX=15.0,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0065,MC_YAW_WEIGHT=0.7,fail,takeoff_succeeded
MC_ROLLRATE_FF=0.0015,MPC_Z_VEL_MAX_DN=0.75,fail,takeoff_succeeded
